10	0.0005438327789306641	17997
10	0.0	17970
10	0.0010063648223876953	17858
12	0.0	17917
12	0.0	17909
12	0.0010001659393310547	17965
13	0.0	17885
13	0.0	17877
13	0.0	17869
14	0.0009951591491699219	17989
14	0.0	17850
14	0.0	17845
15	0.0	17834
15	0.0	17826
15	0.0	17813
20	0.0010018348693847656	17805
20	0.0010013580322265625	17797
20	0.0009982585906982422	17978
50	0.007472991943359375	17778
50	0.005776166915893555	17781
50	0.006303310394287109	17778
100	0.02404928207397461	17806
100	0.02655792236328125	17809
100	0.02484297752380371	17806
500	1.1878986358642578	40694
500	1.191678524017334	41405
500	1.2431910037994385	41344
1000	5.788821697235107	82698
1000	5.860952138900757	82633
1000	5.903086423873901	82633
2000	25.370729446411133	160807
2000	25.395957708358765	161392
2000	24.65043544769287	159312
3000	57.95873212814331	247841
3000	57.7893431186676	246806
3000	58.098134994506836	245961
3000	58.1581814289093	246156
5000	165.7662901878357	408696
5000	170.71510004997253	407006
5000	168.79832935333252	404406
8000	436.1987535953522	652505
8000	434.9531693458557	650581
8000	434.29087376594543	649645
10000	682.8907353878021	814828
